,type,reference,price,neighbourhood,area,rooms,plant,lift,parking,district
647,Flat,/en/inmueble/100260152/,695000,Pedralbes,105,4,8.0,lift,no,Les Corts
648,Flat,/en/inmueble/100918056/,1500000,Sant Gervasi - Galvany,200,4,1.0,lift,yes,Sarrià-Sant Gervasi
649,Flat,/en/inmueble/93702927/,1150000,la Dreta de l'Eixample,181,3,3.0,lift,no,Eixample
650,Flat,/en/inmueble/101223692/,149000,el Raval,41,2,3.0,no lift,no,Ciutat Vella
652,Flat,/en/inmueble/97367283/,1250000,les Corts,215,5,7.0,lift,yes,Les Corts
653,Flat,/en/inmueble/101606577/,370000,la Nova Esquerra de l'Eixample,95,3,2.0,lift,no,Eixample
654,Flat,/en/inmueble/99711669/,460000,l'Antiga Esquerra de l'Eixample,63,2,1.0,no lift,no,Eixample
655,Flat,/en/inmueble/97112390/,550000,les Corts,90,4,5.0,lift,no,Les Corts
656,Flat,/en/inmueble/97585421/,109000,Ciutat Meridiana,72,3,0.0,no lift,no,Nou Barris
657,Flat,/en/inmueble/92710574/,235000,el Raval,65,2,1.0,no lift,no,Ciutat Vella
658,House,/en/inmueble/99936989/,1725000,Horta,668,17,,no lift,yes,Horta-Guinardó
659,Flat,/en/inmueble/95464865/,740000,el Barri Gòtic,195,4,3.0,lift,no,Ciutat Vella
660,Flat,/en/inmueble/101246427/,750000,l'Antiga Esquerra de l'Eixample,155,4,1.0,lift,no,Eixample
661,Flat,/en/inmueble/101614307/,365000,el Guinardó,100,3,2.0,lift,no,Horta-Guinardó
663,Flat,/en/inmueble/98691779/,790000,la Dreta de l'Eixample,105,3,1.0,lift,no,Eixample
665,Flat,/en/inmueble/100720693/,260000,Vilapicina i la Torre Llobeta,85,4,5.0,lift,no,Nou Barris
666,Flat,/en/inmueble/98285241/,3600000,Sant Gervasi - Galvany,484,7,7.0,no lift,yes,Sarrià-Sant Gervasi
667,Terraced,/en/inmueble/98394977/,329000,Horta,95,2,,no lift,no,Horta-Guinardó
668,Flat,/en/inmueble/100868336/,249000,el Poblenou,57,3,3.0,lift,no,Sant Martí
670,Flat,/en/inmueble/101610057/,219000,el Poble-sec,90,3,0.0,lift,no,Sants-Montjuïc
675,Flat,/en/inmueble/100026242/,1300000,la Dreta de l'Eixample,211,6,,no lift,no,Eixample
677,Flat,/en/inmueble/100684527/,890000,l'Antiga Esquerra de l'Eixample,205,5,6.0,lift,no,Eixample
680,Flat,/en/inmueble/101128667/,528000,les Corts,90,3,1.0,lift,no,Les Corts
683,Flat,/en/inmueble/101308853/,1150000,Sant Gervasi - Galvany,205,4,3.0,lift,yes,Sarrià-Sant Gervasi
685,Flat,/en/inmueble/99017571/,840000,el Barri Gòtic,176,3,3.0,no lift,no,Ciutat Vella
689,Penthouse,/en/inmueble/99736872/,850000,el Baix Guinardó,190,3,10.0,lift,no,Horta-Guinardó
690,Flat,/en/inmueble/101607814/,730000,la Dreta de l'Eixample,154,4,1.0,lift,no,Eixample
691,Penthouse,/en/inmueble/101458059/,2500000,"Sant Pere, Santa Caterina i la Ribera",300,2,4.0,lift,no,Ciutat Vella
692,Flat,/en/inmueble/95890216/,980000,la Maternitat i Sant Ramon,151,3,3.0,lift,no,Les Corts
693,Flat,/en/inmueble/101619572/,795000,"Sant Pere, Santa Caterina i la Ribera",88,2,1.0,lift,no,Ciutat Vella
694,House,/en/inmueble/101220886/,1650000,"Vallvidrera, el Tibidabo i les Planes",359,5,,no lift,yes,Sarrià-Sant Gervasi
695,Flat,/en/inmueble/101621474/,280000,la Marina de Port,76,3,3.0,lift,no,Sants-Montjuïc
696,House,/en/inmueble/101559950/,3900000,Pedralbes,738,5,,no lift,yes,Les Corts
698,Flat,/en/inmueble/101600421/,129000,el Turó de la Peira,69,2,4.0,lift,no,Nou Barris
700,Terraced,/en/inmueble/101625284/,500000,Horta,224,6,,no lift,no,Horta-Guinardó
701,Flat,/en/inmueble/101588164/,1900000,la Dreta de l'Eixample,293,4,,no lift,no,Eixample
702,Flat,/en/inmueble/101617006/,200000,el Guinardó,61,2,0.0,lift,no,Horta-Guinardó
703,Flat,/en/inmueble/101626308/,157300,la Sagrera,62,3,0.0,no lift,no,Sant Andreu
704,Flat,/en/inmueble/101611450/,385000,el Camp de l'Arpa del Clot,94,4,7.0,lift,yes,Sant Martí
705,Flat,/en/inmueble/99129215/,410000,la Nova Esquerra de l'Eixample,115,3,1.0,lift,no,Eixample
708,Flat,/en/inmueble/99362708/,419000,la Sagrada Família,126,4,1.0,lift,no,Eixample
710,Flat,/en/inmueble/101618567/,300000,el Congrés i els Indians,90,3,4.0,lift,no,Sant Andreu
